Generator,Bus,MaxProd,MinProd,IniProd,IniState,SUcap,SDcap,RampUp,RampDw,FuelCost,SlopeVarCost,InterVarCost,OMVarCost,MinTU,MinTD,SDduration,ShutdownCost,SUduration1,DownTtimeforSU1,SUcost1
gen45,100,300,100,100,2,100,100,100,100,1.00,12.10,7.41,0.00,2,13,2,0,4,13,110
gen46,103,20,8,0,-4,8,8,8,8,1.00,40.36,16.74,0.00,2,4,1,0,1,4,30
gen47,104,100,25,0,-7,25,25,25,25,1.00,14.73,11.24,0.00,3,7,1,0,2,7,50
gen48,105,100,25,0,-7,25,25,25,25,1.00,15.41,11.25,0.00,3,7,1,0,2,7,50
gen49,107,20,8,0,-4,8,8,8,8,1.00,40.55,15.77,0.00,2,4,1,0,1,4,30
gen50,110,50,25,40,1,25,25,25,25,1.00,25.28,48.88,0.00,1,4,1,0,1,4,45
gen51,111,100,25,0,-7,25,25,25,25,1.00,15.01,11.18,0.00,3,7,1,0,2,7,50
gen52,112,100,25,0,-7,25,25,25,25,1.00,15.01,10.93,0.00,3,7,1,0,2,7,50
gen53,113,100,25,0,-7,25,25,25,25,1.00,16.22,12.04,0.00,3,7,1,0,2,7,50
gen54,116,50,25,50,1,25,25,25,25,1.00,26.73,50.68,0.00,1,4,1,0,1,4,45
